광역지자체,기초지자체,광역지자체 검색건수,광역지자체 검색건수 비율,기초지자체 검색건수,기초지자체 검색건수 비율
전라남도,나주시,14160528,3.7,673212,4.8
전라남도,담양군,14160528,3.7,1151744,8.1
전라남도,목포시,14160528,3.7,1277137,9.0
전라남도,무안군,14160528,3.7,459646,3.2
전라남도,보성군,14160528,3.7,286914,2.0
전라남도,순천시,14160528,3.7,1359221,9.6
전라남도,신안군,14160528,3.7,365850,2.6
전라남도,여수시,14160528,3.7,3672221,25.9
전라남도,영광군,14160528,3.7,392538,2.8
전라남도,영암군,14160528,3.7,278857,2.0
전라남도,완도군,14160528,3.7,386454,2.7
전라남도,장성군,14160528,3.7,394372,2.8
전라남도,장흥군,14160528,3.7,167129,1.2
전라남도,진도군,14160528,3.7,408781,2.9
전라남도,함평군,14160528,3.7,211235,1.5
전라남도,해남군,14160528,3.7,370623,2.6
전라남도,화순군,14160528,3.7,421547,3.0
전라북도,고창군,10568845,2.8,523447,5.0
전라북도,군산시,10568845,2.8,2133722,20.2
전라북도,김제시,10568845,2.8,357243,3.4
전라북도,남원시,10568845,2.8,508119,4.8
전라북도,무주군,10568845,2.8,462888,4.4
전라북도,부안군,10568845,2.8,942593,8.9
전라북도,순창군,10568845,2.8,252028,2.4
전라북도,완주군,10568845,2.8,679283,6.4
전라북도,익산시,10568845,2.8,758927,7.2
전라북도,임실군,10568845,2.8,152269,1.4
전라북도,장수군,10568845,2.8,58826,0.6
전라북도,전주시 덕진구,10568845,2.8,1261051,11.9
전라북도,전주시 완산구,10568845,2.8,1884764,17.8
전라북도,정읍시,10568845,2.8,396543,3.8
전라북도,진안군,10568845,2.8,197142,1.9
제주특별자치도,서귀포시,21479239,5.6,9248666,43.1
제주특별자치도,제주시,21479239,5.6,12230573,56.9
충청남도,계룡시,19208239,5.0,163661,0.9
충청남도,공주시,19208239,5.0,1377899,7.2
충청남도,금산군,19208239,5.0,270125,1.4
충청남도,논산시,19208239,5.0,659122,3.4
충청남도,당진시,19208239,5.0,1630735,8.5
충청남도,보령시,19208239,5.0,1740273,9.1
충청남도,부여군,19208239,5.0,713228,3.7
충청남도,서산시,19208239,5.0,1324302,6.9
충청남도,서천군,19208239,5.0,577869,3.0
충청남도,아산시,19208239,5.0,2152082,11.2
충청남도,예산군,19208239,5.0,791003,4.1
충청남도,천안시 동남구,19208239,5.0,1984399,10.3
충청남도,천안시 서북구,19208239,5.0,2260515,11.8
충청남도,청양군,19208239,5.0,144943,0.8
충청남도,태안군,19208239,5.0,2898432,15.1
충청남도,홍성군,19208239,5.0,519651,2.7
충청북도,괴산군,11584398,3.0,406466,3.5
충청북도,단양군,11584398,3.0,1032572,8.9
충청북도,보은군,11584398,3.0,377902,3.3
충청북도,영동군,11584398,3.0,146668,1.3
충청북도,옥천군,11584398,3.0,250966,2.2
충청북도,음성군,11584398,3.0,688438,5.9
충청북도,제천시,11584398,3.0,1285515,11.1
충청북도,증평군,11584398,3.0,249487,2.2
충청북도,진천군,11584398,3.0,745879,6.4
충청북도,청주시 상당구,11584398,3.0,1106009,9.5
충청북도,청주시 서원구,11584398,3.0,678045,5.9
충청북도,청주시 청원구,11584398,3.0,1326390,11.4
충청북도,청주시 흥덕구,11584398,3.0,1254231,10.8
충청북도,충주시,11584398,3.0,2035830,17.6
